movie_title,year,tmdb_id,movie_id,director,actor1,actor2
Paradise Lost: The Child Murders at Robin Hood Hills ,1996,17204,320,Joe Berlinger,Joe Berlinger,Bruce Sinofsky
Mother ,1996,27265,321,Albert Brooks,Albert Brooks,Debbie Reynolds
Murder at 1600 ,1997,9415,322,Dwight H. Little,Wesley Snipes,Diane Lane
Dante's Peak ,1997,9619,323,Roger Donaldson,Pierce Brosnan,Linda Hamilton
Lost Highway ,1997,638,324,David Lynch,Bill Pullman,Patricia Arquette
Crash ,1997,884,325,David Cronenberg,James Spader,Deborah Kara Unger
G.I. Jane ,1997,4421,326,Ridley Scott,Demi Moore,Viggo Mortensen
Cop Land ,1997,2142,327,James Mangold,Sylvester Stallone,Harvey Keitel
Conspiracy Theory ,1997,8834,328,Richard Donner,Mel Gibson,Julia Roberts
Desperate Measures ,1998,9458,329,Barbet Schroeder,Michael Keaton,Andy García
187 ,1997,6072,330,Kevin Reynolds,Samuel L. Jackson,John Heard
"Edge, The ",1997,9433,331,Lee Tamahori,Alec Baldwin,Anthony Hopkins
Kiss the Girls ,1997,9437,332,Gary Fleder,Morgan Freeman,Ashley Judd
"Game, The ",1997,2649,333,David Fincher,Michael Douglas,Sean Penn
U Turn ,1997,10155,334,Oliver Stone,Sean Penn,Nick Nolte
How to Be a Player ,1997,28353,335,Lionel C. Martin,Bill Bellamy,Lark Voorhies
Playing God ,1997,12628,336,Andy Wilson,David Duchovny,Timothy Hutton
"House of Yes, The ",1997,33344,337,Mark Waters,Parker Posey,Josh Hamilton
Bean ,1997,1281,338,Mel Smith,Rowan Atkinson,Peter MacNicol
Mad City ,1997,9770,339,Costa-Gavras,John Travolta,Dustin Hoffman
Boogie Nights ,1997,4995,340,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore
Critical Care ,1997,61337,341,Sidney Lumet,James Spader,Kyra Sedgwick
"Man Who Knew Too Little, The ",1997,9414,342,Jon Amiel,Bill Murray,Peter Gallagher
Alien: Resurrection ,1997,8078,343,Jean-Pierre Jeunet,Sigourney Weaver,Winona Ryder
"Apostle, The ",1997,2895,344,Robert Duvall,Robert Duvall,Billy Bob Thornton
Deconstructing Harry ,1997,2639,345,Woody Allen,Woody Allen,Kirstie Alley
Jackie Brown ,1997,184,346,Quentin Tarantino,Pam Grier,Samuel L. Jackson
Wag the Dog ,1998,586,347,Barry Levinson,Dustin Hoffman,Robert De Niro
Desperate Measures ,1998,9458,348,Barbet Schroeder,Michael Keaton,Andy García
Hard Rain ,1998,11258,349,Mikael Salomon,Morgan Freeman,Christian Slater
Fallen ,1998,9411,350,Gregory Hoblit,Denzel Washington,John Goodman
"Prophecy II, The ",1998,9033,351,Greg Spence,Christopher Walken,Jennifer Beals
Spice World ,1997,6116,352,Bob Spiers,Victoria Beckham,Melanie Brown
Deep Rising ,1998,9457,353,Stephen Sommers,Treat Williams,Famke Janssen
"Wedding Singer, The ",1998,11003,354,Frank Coraci,Adam Sandler,Drew Barrymore
Sphere ,1998,10153,355,Barry Levinson,Dustin Hoffman,Sharon Stone
"Client, The ",1994,10731,356,Joel Schumacher,Susan Sarandon,Tommy Lee Jones
One Flew Over the Cuckoo's Nest ,1975,510,357,Miloš Forman,Jack Nicholson,Louise Fletcher
Spawn ,1997,10336,358,Mark A.Z. Dippé,Michael Jai White,Martin Sheen
"Assignment, The ",1997,18355,359,Christian Duguay,Aidan Quinn,Donald Sutherland
Wonderland ,1997,251481,360,John O'Hagan,Bill Griffith,
Incognito ,1997,45928,361,John Badham,Jason Patric,Irène Jacob
Blues Brothers 2000 ,1998,11568,362,John Landis,Dan Aykroyd,John Goodman
Sudden Death ,1995,9091,363,Peter Hyams,Jean-Claude Van Damme,Powers Boothe
Ace Ventura: When Nature Calls ,1995,9273,364,Steve Oedekerk,Jim Carrey,Ian McNeice
Powder ,1995,12665,365,Victor Salva,Mary Steenburgen,Sean Patrick Flanery
Dangerous Minds ,1995,9909,366,John N. Smith,Michelle Pfeiffer,George Dzundza
Clueless ,1995,9603,367,Amy Heckerling,Alicia Silverstone,Stacey Dash
Bio-Dome ,1996,9536,368,Jason Bloom,Pauly Shore,Stephen Baldwin
Black Sheep ,1996,13997,369,Penelope Spheeris,Chris Farley,David Spade
Mary Reilly ,1996,9095,370,Stephen Frears,Julia Roberts,John Malkovich
"Bridges of Madison County, The ",1996,688,371,Clint Eastwood,Meryl Streep,Clint Eastwood
Jeffrey ,1995,17447,372,Christopher Ashley,Steven Weber,Patrick Stewart
Judge Dredd ,1995,9482,373,Danny Cannon,Sylvester Stallone,Diane Lane
Mighty Morphin Power Rangers: The Movie ,1995,9070,374,Bryan Spicer,Amy Jo Johnson,Jason David Frank
Showgirls ,1995,10802,375,Paul Verhoeven,Elizabeth Berkley,Kyle MacLachlan
Houseguest ,1994,17207,376,Randall Miller,Sinbad,Phil Hartman
Heavyweights ,1994,350053,377,Jesper Quistgaard,,
Miracle on 34th Street ,1994,10510,378,Les Mayfield,Mara Wilson,Richard Attenborough
Tales From the Crypt Presents: Demon Knight ,1995,9059,379,Ernest R. Dickerson,Billy Zane,William Sadler
Star Trek: Generations ,1994,193,380,David Carson,Patrick Stewart,Jonathan Frakes
Muriel's Wedding ,1994,236,381,P.J. Hogan,Toni Collette,Bill Hunter
"Adventures of Priscilla, Queen of the Desert, The ",1994,2759,382,Stephan Elliott,Terence Stamp,Hugo Weaving
"Flintstones, The ",1994,888,383,Brian Levant,John Goodman,Elizabeth Perkins
Naked Gun 33 1/3: The Final Insult ,1994,36593,384,Peter Segal,Leslie Nielsen,Priscilla Presley
True Lies ,1994,36955,385,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis
Addams Family Values ,1993,2758,386,Barry Sonnenfeld,Raúl Juliá,Anjelica Huston
"Age of Innocence, The ",1993,10436,387,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer
Beverly Hills Cop III ,1994,306,388,John Landis,Eddie Murphy,Judge Reinhold
Black Beauty ,1994,14522,389,Caroline Thompson,Alan Cumming,Sean Bean
Fear of a Black Hat ,1993,20239,390,Rusty Cundieff,Larry B. Scott,Mark Christopher Lawrence
Last Action Hero ,1993,9593,391,John McTiernan,Arnold Schwarzenegger,Austin O'Brien
"Man Without a Face, The ",1993,10502,392,Mel Gibson,Mel Gibson,Nick Stahl
Mrs. Doubtfire ,1993,788,393,Chris Columbus,Robin Williams,Sally Field
Radioland Murders ,1994,22588,394,Mel Smith,Brian Benben,Mary Stuart Masterson
Robin Hood: Men in Tights ,1993,8005,395,Mel Brooks,Cary Elwes,Dom DeLuise
Serial Mom ,1994,11592,396,John Waters,Kathleen Turner,Sam Waterston
Striking Distance ,1993,11074,397,Rowdy Herrington,Bruce Willis,Sarah Jessica Parker
Super Mario Bros. ,1993,9607,398,Annabel Jankel,Bob Hoskins,John Leguizamo
"Three Musketeers, The ",1993,10057,399,Stephen Herek,Charlie Sheen,Kiefer Sutherland
"Little Rascals, The ",1994,10897,400,Penelope Spheeris,Bug Hall,Travis Tedford
"Brady Bunch Movie, The ",1995,9066,401,Betty Thomas,Shelley Long,Gary Cole
Ghost ,1990,251,402,Jerry Zucker,Patrick Swayze,Demi Moore
Batman ,1989,268,403,Tim Burton,Michael Keaton,Jack Nicholson
Pinocchio ,1940,10895,404,Hamilton Luske,Dickie Jones,Cliff Edwards
Mission: Impossible ,1996,954,405,Brian De Palma,Tom Cruise,Jon Voight
Thinner ,1996,10280,406,Tom Holland,Robert John Burke,Lucinda Jenney
Spy Hard ,1996,10535,407,Rick Friedberg,Leslie Nielsen,Nicollette Sheridan
"Close Shave, A ",1996,532,408,Nick Park,Peter Sallis,Anne Reid
Jack ,1996,7095,409,Francis Ford Coppola,Robin Williams,Diane Lane
Kingpin ,1996,11543,410,Bobby Farrelly,Woody Harrelson,Randy Quaid
"Nutty Professor, The ",1996,9327,411,Tom Shadyac,Eddie Murphy,Jada Pinkett Smith
"Very Brady Sequel, A ",1996,12606,412,Arlene Sanford,Shelley Long,Gary Cole
Tales from the Crypt Presents: Bordello of Blood ,1996,9431,413,Gilbert Adler,Dennis Miller,Erika Eleniak
My Favorite Year ,1982,31044,414,Richard Benjamin,Peter O'Toole,Mark Linn-Baker
"Apple Dumpling Gang, The ",1975,18660,415,Norman Tokar,Don Knotts,Tim Conway
Old Yeller ,1957,22660,416,Robert Stevenson,Dorothy McGuire,Fess Parker
"Parent Trap, The ",1961,19186,417,David Swift,Hayley Mills,Maureen O'Hara
Cinderella ,1950,11224,418,Clyde Geronimi,Ilene Woods,Eleanor Audley
Mary Poppins ,1964,433,419,Robert Stevenson,Julie Andrews,Dick Van Dyke
Alice in Wonderland ,1951,12092,420,Clyde Geronimi,Kathryn Beaumont,Verna Felton
William Shakespeare's Romeo and Juliet ,1996,454,421,Baz Luhrmann,Leonardo DiCaprio,Claire Danes
Aladdin and the King of Thieves ,1996,11238,422,Tad Stones,Scott Weinger,Linda Larkin
E.T. the Extra-Terrestrial ,1982,601,423,Steven Spielberg,Henry Thomas,Drew Barrymore
Children of the Corn: The Gathering ,1996,25750,424,Greg Spence,Naomi Watts,Jamie Renée Smith
Bob Roberts ,1992,10608,425,Tim Robbins,Tim Robbins,Giancarlo Esposito
"Transformers: The Movie, The ",1986,1857,426,Nelson Shin,Judd Nelson,Peter Cullen
To Kill a Mockingbird ,1962,595,427,Robert Mulligan,Gregory Peck,Mary Badham
Harold and Maude ,1971,343,428,Hal Ashby,Ruth Gordon,Bud Cort
"Day the Earth Stood Still, The ",1951,828,429,Robert Wise,Michael Rennie,Patricia Neal
Duck Soup ,1933,3063,430,Leo McCarey,Groucho Marx,Harpo Marx
Highlander ,1986,8009,431,Russell Mulcahy,Christopher Lambert,Roxanne Hart
Fantasia ,1940,756,432,Samuel Armstrong,Deems Taylor,Walt Disney
Heathers ,1989,2640,433,Michael Lehmann,Winona Ryder,Christian Slater
Forbidden Planet ,1956,830,434,Fred M. Wilcox,Walter Pidgeon,Anne Francis
Butch Cassidy and the Sundance Kid ,1969,642,435,George Roy Hill,Paul Newman,Robert Redford
"American Werewolf in London, An ",1981,814,436,John Landis,David Naughton,Jenny Agutter
Amityville 1992: It's About Time ,1992,41671,437,Tony Randel,Stephen Macht,Shawn Weatherly
Amityville 3-D ,1983,27214,438,Richard Fleischer,Tony Roberts,Tess Harper
Amityville: A New Generation ,1993,33519,439,John Murlowski,Ross Partridge,Robert Harvey
Amityville II: The Possession ,1982,16235,440,Damiano Damiani,James Olson,Burt Young
"Amityville Horror, The ",1979,11449,441,Stuart Rosenberg,James Brolin,Margot Kidder
"Amityville Curse, The ",1990,41848,442,Tom Bery,Kim Coates,Dawna Wightman
"Birds, The ",1963,571,443,Alfred Hitchcock,Rod Taylor,Tippi Hedren
"Blob, The ",1958,8851,444,Irvin S. Yeaworth Jr.,Steve McQueen,Aneta Corsaut
"Body Snatcher, The ",1945,30346,445,Robert Wise,Boris Karloff,Bela Lugosi
Burnt Offerings ,1976,13549,446,Dan Curtis,Karen Black,Oliver Reed
Carrie ,1976,7340,447,Brian De Palma,Sissy Spacek,John Travolta
"Omen, The ",1976,794,448,Richard Donner,Gregory Peck,Lee Remick
Star Trek: The Motion Picture ,1979,152,449,Robert Wise,William Shatner,Leonard Nimoy
Star Trek V: The Final Frontier ,1989,172,450,William Shatner,William Shatner,Leonard Nimoy
Grease ,1978,621,451,Randal Kleiser,John Travolta,Olivia Newton-John
Jaws 2 ,1978,579,452,Jeannot Szwarc,Roy Scheider,Lorraine Gary
Jaws 3-D ,1983,17692,453,Joe Alves,Dennis Quaid,Bess Armstrong
Bastard Out of Carolina ,1996,41240,454,Anjelica Huston,Jennifer Jason Leigh,Lyle Lovett
Jackie Chan's First Strike ,1997,9404,455,Stanley Tong,Jackie Chan,Bill Tung
Beverly Hills Ninja ,1997,9622,456,Dennis Dugan,Chris Farley,Nicollette Sheridan
Free Willy 3: The Rescue ,1997,18519,457,Sam Pillsbury,Jason James Richter,August Schellenberg
Nixon ,1995,10858,458,Oliver Stone,Anthony Hopkins,Joan Allen
"Cry, the Beloved Country ",1995,34615,459,Darrell James Roodt,James Earl Jones,Charles S. Dutton
"Crossing Guard, The ",1995,27526,460,Sean Penn,Jack Nicholson,David Morse
Smoke ,1995,10149,461,Wayne Wang,Harvey Keitel,William Hurt
Like Water For Chocolate (Como agua para chocolate) ,1992,18183,462,Alfonso Aráu,Marco Leonardi,Lumi Cavazos
"Secret of Roan Inish, The ",1994,14334,463,John Sayles,Jeni Courtney,Eileen Colgan
Vanya on 42nd Street ,1994,32636,464,Louis Malle,Wallace Shawn,Julianne Moore
"Jungle Book, The ",1994,10714,465,Stephen Sommers,Jason Scott Lee,Cary Elwes
Red Rock West ,1992,10427,466,John Dahl,Nicolas Cage,Dennis Hopper
"Bronx Tale, A ",1993,1607,467,Robert De Niro,Robert De Niro,Chazz Palminteri
Rudy ,1993,14534,468,David Anspaugh,Sean Astin,Jon Favreau
Short Cuts ,1993,695,469,Robert Altman,Julianne Moore,Andie MacDowell
Tombstone ,1993,11969,470,George P. Cosmatos,Kurt Russell,Val Kilmer
Courage Under Fire ,1996,10684,471,Edward Zwick,Denzel Washington,Meg Ryan
Dragonheart ,1996,8840,472,Rob Cohen,Dennis Quaid,David Thewlis
James and the Giant Peach ,1996,10539,473,Henry Selick,Paul Terry,Miriam Margolyes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1963,935,474,Stanley Kubrick,Peter Sellers,George C. Scott
Trainspotting ,1996,627,475,Danny Boyle,Ewan McGregor,Ewen Bremner
"First Wives Club, The ",1996,2925,476,Hugh Wilson,Goldie Hawn,Bette Midler
Matilda ,1996,10830,477,Danny DeVito,Mara Wilson,Danny DeVito
"Philadelphia Story, The ",1940,981,478,George Cukor,Cary Grant,Katharine Hepburn
Vertigo ,1958,426,479,Alfred Hitchcock,James Stewart,Kim Novak
North by Northwest ,1959,213,480,Alfred Hitchcock,Cary Grant,Eva Marie Saint
"Apartment, The ",1960,284,481,Billy Wilder,Jack Lemmon,Shirley MacLaine
Some Like It Hot ,1959,239,482,Billy Wilder,Marilyn Monroe,Tony Curtis
Casablanca ,1942,289,483,Michael Curtiz,Humphrey Bogart,Ingrid Bergman
"Maltese Falcon, The ",1941,963,484,John Huston,Humphrey Bogart,Mary Astor
My Fair Lady ,1964,11113,485,George Cukor,Audrey Hepburn,Rex Harrison
Sabrina ,1954,6620,486,Billy Wilder,Humphrey Bogart,Audrey Hepburn
Roman Holiday ,1953,804,487,William Wyler,Gregory Peck,Audrey Hepburn
Sunset Blvd. ,1950,599,488,Billy Wilder,William Holden,Gloria Swanson
Notorious ,1946,303,489,Alfred Hitchcock,Cary Grant,Ingrid Bergman
To Catch a Thief ,1955,381,490,Alfred Hitchcock,Cary Grant,Grace Kelly
"Adventures of Robin Hood, The ",1938,10907,491,Michael Curtiz,Errol Flynn,Olivia de Havilland
East of Eden ,1955,220,492,Elia Kazan,James Dean,Julie Harris
"Thin Man, The ",1934,3529,493,W.S. Van Dyke,William Powell,Myrna Loy
His Girl Friday ,1940,3085,494,Howard Hawks,Cary Grant,Rosalind Russell
Around the World in 80 Days ,1956,2897,495,Michael Anderson,David Niven,Cantinflas
It's a Wonderful Life ,1946,1585,496,Frank Capra,James Stewart,Donna Reed
Bringing Up Baby ,1938,900,497,Howard Hawks,Katharine Hepburn,Cary Grant
"African Queen, The ",1951,488,498,John Huston,Humphrey Bogart,Katharine Hepburn
Cat on a Hot Tin Roof ,1958,261,499,Richard Brooks,Elizabeth Taylor,Paul Newman
Fly Away Home ,1996,11076,500,Carroll Ballard,Jeff Daniels,Anna Paquin
Dumbo ,1941,11360,501,Ben Sharpsteen,Sterling Holloway,Herman Bing
Bananas ,1971,11302,502,Woody Allen,Woody Allen,Louise Lasser
"Candidate, The ",1972,21711,503,Michael Ritchie,Robert Redford,Peter Boyle
Bonnie and Clyde ,1967,475,504,Arthur Penn,Warren Beatty,Faye Dunaway
Dial M for Murder ,1954,521,505,Alfred Hitchcock,Ray Milland,Grace Kelly
Rebel Without a Cause ,1955,221,506,Nicholas Ray,James Dean,Natalie Wood
"Streetcar Named Desire, A ",1951,702,507,Elia Kazan,Vivien Leigh,Marlon Brando
"People vs. Larry Flynt, The ",1996,1630,508,Miloš Forman,Woody Harrelson,Courtney Love
My Left Foot ,1989,10161,509,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker
"Magnificent Seven, The ",1954,346,510,Akira Kurosawa,Toshirō Mifune,Takashi Shimura
Lawrence of Arabia ,1962,947,511,David Lean,Peter O'Toole,Alec Guinness
Wings of Desire ,1987,144,512,Wim Wenders,Bruno Ganz,Otto Sander
"Third Man, The ",1949,1092,513,Carol Reed,Joseph Cotten,Alida Valli
Annie Hall ,1977,703,514,Woody Allen,Woody Allen,Diane Keaton
"Boot, Das ",1997,387,515,Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer
Local Hero ,1983,11235,516,Bill Forsyth,Burt Lancaster,Peter Riegert
Manhattan ,1979,696,517,Woody Allen,Woody Allen,Diane Keaton
Miller's Crossing ,1990,379,518,Joel Coen,John Turturro,Gabriel Byrne
"Treasure of the Sierra Madre, The ",1948,3090,519,John Huston,Humphrey Bogart,Walter Huston
"Great Escape, The ",1963,5925,520,John Sturges,James Garner,Donald Pleasence
"Deer Hunter, The ",1978,11778,521,Michael Cimino,Robert De Niro,John Cazale
Down by Law ,1986,1554,522,Jim Jarmusch,Tom Waits,John Lurie
Cool Hand Luke ,1967,903,523,Stuart Rosenberg,Paul Newman,George Kennedy
"Great Dictator, The ",1940,914,524,Charlie Chaplin,Charlie Chaplin,Jack Oakie
"Big Sleep, The ",1946,910,525,Howard Hawks,Humphrey Bogart,Lauren Bacall
Ben-Hur ,1959,665,526,William Wyler,Charlton Heston,Jack Hawkins
Gandhi ,1982,783,527,Richard Attenborough,Ben Kingsley,Candice Bergen
"Killing Fields, The ",1984,625,528,Roland Joffé,Sam Waterston,Haing S. Ngor
My Life as a Dog (Mitt liv som hund) ,1985,8816,529,Lasse Hallström,Anki Lidén,Anton Glanzelius
"Man Who Would Be King, The ",1975,983,530,John Huston,Sean Connery,Michael Caine
Shine ,1996,7863,531,Scott Hicks,Geoffrey Rush,Noah Taylor
Kama Sutra: A Tale of Love ,1997,28005,532,Mira Nair,Indira Varma,Sarita Choudhury
"Daytrippers, The ",1997,49806,533,Greg Mottola,Stanley Tucci,Hope Davis
Traveller ,1997,31465,534,Jack Green,Bill Paxton,Julianna Margulies
Addicted to Love ,1997,2058,535,Griffin Dunne,Meg Ryan,Matthew Broderick
Ponette ,1997,38523,536,Jacques Doillon,Delphine Schiltz,Victoire Thivisol
My Own Private Idaho ,1991,468,537,Gus Van Sant,River Phoenix,Keanu Reeves
Anastasia ,1997,9444,538,Don Bluth,Meg Ryan,John Cusack
Mouse Hunt ,1997,6283,539,Gore Verbinski,Nathan Lane,Lee Evans
Money Train ,1995,11517,540,Joseph Ruben,Wesley Snipes,Woody Harrelson
Mortal Kombat ,1995,9312,541,Paul W.S. Anderson,Christopher Lambert,Robin Shou
Pocahontas ,1995,10530,542,Mike Gabriel,Irene Bedard,Mel Gibson
"Misérables, Les ",1995,-1,543,,,
Things to Do in Denver when You're Dead ,1996,400,544,Gary Fleder,Andy García,Christopher Lloyd
Vampire in Brooklyn ,1995,12158,545,Wes Craven,Eddie Murphy,Angela Bassett
Broken Arrow ,1996,9208,546,John Woo,John Travolta,Christian Slater
"Young Poisoner's Handbook, The ",1996,16934,547,Benjamin Ross,Hugh O'Conor,Antony Sher
"NeverEnding Story III, The ",1996,27793,548,Peter MacDonald,Jason James Richter,Melody Kay
Rob Roy ,1995,11780,549,Michael Caton-Jones,Liam Neeson,Jessica Lange
Die Hard: With a Vengeance ,1995,1572,550,John McTiernan,Bruce Willis,Jeremy Irons
Lord of Illusions ,1995,8973,551,Clive Barker,Scott Bakula,Kevin J. O'Connor
Species ,1995,9348,552,Roger Donaldson,Natasha Henstridge,Ben Kingsley
"Walk in the Clouds, A ",1995,9560,553,Alfonso Aráu,Keanu Reeves,Aitana Sánchez-Gijón
Waterworld ,1995,9804,554,Kevin Reynolds,Kevin Costner,Dennis Hopper
White Man's Burden ,1995,31611,555,Desmond Nakano,John Travolta,Harry Belafonte
Wild Bill ,1995,65796,556,Walter Hill,Jeff Bridges,Ellen Barkin
Farinelli: il castrato ,1994,10954,557,Gérard Corbiau,Stefano Dionisi,Enrico Lo Verso
Heavenly Creatures ,1994,1024,558,Peter Jackson,Melanie Lynskey,Kate Winslet
Interview with the Vampire ,1994,628,559,Neil Jordan,Brad Pitt,Tom Cruise
"Kid in King Arthur's Court, A ",1995,37108,560,Michael Gottlieb,Thomas Ian Nicholas,Joss Ackland
Mary Shelley's Frankenstein ,1994,3036,561,Kenneth Branagh,Robert De Niro,Kenneth Branagh
"Quick and the Dead, The ",1995,12106,562,Sam Raimi,Sharon Stone,Gene Hackman
Stephen King's The Langoliers ,1995,-1,563,,,
Tales from the Hood ,1995,25066,564,Rusty Cundieff,Clarence Williams III,Corbin Bernsen
Village of the Damned ,1995,12122,565,John Carpenter,Christopher Reeve,Kirstie Alley
Clear and Present Danger ,1994,9331,566,Phillip Noyce,Harrison Ford,Willem Dafoe
Wes Craven's New Nightmare ,1994,11596,567,Wes Craven,Heather Langenkamp,Robert Englund
Speed ,1994,1637,568,Jan de Bont,Keanu Reeves,Dennis Hopper
Wolf ,1994,10395,569,Mike Nichols,Jack Nicholson,Christopher Plummer
Wyatt Earp ,1994,12160,570,Lawrence Kasdan,Kevin Costner,Dennis Quaid
Another Stakeout ,1993,9409,571,John Badham,Richard Dreyfuss,Emilio Estevez
Blown Away ,1994,178,572,Stephen Hopkins,Jeff Bridges,Tommy Lee Jones
Body Snatchers ,1993,4722,573,Abel Ferrara,Gabrielle Anwar,Terry Kinney
Boxing Helena ,1993,18215,574,Jennifer Chambers Lynch,Julian Sands,Sherilyn Fenn
City Slickers II: The Legend of Curly's Gold ,1994,11310,575,Paul Weiland,Billy Crystal,Daniel Stern
Cliffhanger ,1993,9350,576,Renny Harlin,Sylvester Stallone,John Lithgow
Coneheads ,1993,9612,577,Steve Barron,Robert Knott,Dan Aykroyd
Demolition Man ,1993,9739,578,Marco Brambilla,Sylvester Stallone,Wesley Snipes
Fatal Instinct ,1993,26141,579,Carl Reiner,Armand Assante,Sherilyn Fenn
"Englishman Who Went Up a Hill, But Came Down a Mountain, The ",1995,10612,580,Christopher Monger,Hugh Grant,Tara Fitzgerald
Kalifornia ,1993,10909,581,Dominic Sena,Brad Pitt,David Duchovny
"Piano, The ",1993,713,582,Jane Campion,Holly Hunter,Harvey Keitel
Romeo Is Bleeding ,1993,2088,583,Peter Medak,Gary Oldman,Lena Olin
"Secret Garden, The ",1993,11236,584,Agnieszka Holland,Kate Maberly,Heydon Prowse
Son in Law ,1993,13203,585,Steve Rash,Pauly Shore,Carla Gugino
Terminal Velocity ,1994,9057,586,Deran Sarafian,Charlie Sheen,Nastassja Kinski
"Hour of the Pig, The ",1993,70912,587,Leslie Megahey,Colin Firth,Ian Holm
Beauty and the Beast ,1991,10020,588,Gary Trousdale,Paige O'Hara,Robby Benson
"Wild Bunch, The ",1969,576,589,Sam Peckinpah,William Holden,Ernest Borgnine
Hellraiser: Bloodline ,1996,8766,590,Kevin Yagher,Bruce Ramsay,Valentina Vargas
Primal Fear ,1996,1592,591,Gregory Hoblit,Richard Gere,Edward Norton
True Crime ,1995,37144,592,Pat Verducci,Alicia Silverstone,Kevin Dillon
Stalingrad ,1993,11101,593,Joseph Vilsmaier,Dominique Horwitz,Thomas Kretschmann
Heavy ,1996,11827,594,Gerald Potterton,Rodger Bumpass,Jackie Burroughs
"Fan, The ",1996,9566,595,Tony Scott,Robert De Niro,Wesley Snipes
"Hunchback of Notre Dame, The ",1996,10545,596,Gary Trousdale,Tom Hulce,Demi Moore
Eraser ,1996,9268,597,Chuck Russell,Arnold Schwarzenegger,James Caan
"Big Squeeze, The ",1996,144982,598,Marcus DeLeon,Lara Flynn Boyle,Danny Nucci
Police Story 4: Project S (Chao ji ji hua) ,1996,-1,599,,,
Daniel Defoe's Robinson Crusoe ,1996,-1,600,,,
For Whom the Bell Tolls ,1943,27854,601,Sam Wood,Gary Cooper,Ingrid Bergman
"American in Paris, An ",1951,2769,602,Vincente Minnelli,Gene Kelly,Leslie Caron
Rear Window ,1954,567,603,Alfred Hitchcock,James Stewart,Grace Kelly
It Happened One Night ,1934,3078,604,Frank Capra,Clark Gable,Claudette Colbert
Meet Me in St. Louis ,1944,909,605,Vincente Minnelli,Judy Garland,Margaret O'Brien
All About Eve ,1950,705,606,Joseph L. Mankiewicz,Bette Davis,Anne Baxter
Rebecca ,1940,223,607,Alfred Hitchcock,Laurence Olivier,Joan Fontaine
Spellbound ,1945,4174,608,Alfred Hitchcock,Ingrid Bergman,Gregory Peck
Father of the Bride ,1950,20758,609,Vincente Minnelli,Spencer Tracy,Joan Bennett
Gigi ,1958,17281,610,Vincente Minnelli,Leslie Caron,Maurice Chevalier
Laura ,1944,1939,611,Otto Preminger,Gene Tierney,Dana Andrews
Lost Horizon ,1937,3598,612,Frank Capra,Ronald Colman,Jane Wyatt
My Man Godfrey ,1936,13562,613,Gregory La Cava,William Powell,Carole Lombard
Giant ,1956,1712,614,George Stevens,Elizabeth Taylor,Rock Hudson
"39 Steps, The ",1935,260,615,Alfred Hitchcock,Robert Donat,Madeleine Carroll
Night of the Living Dead ,1968,10331,616,George A. Romero,Duane Jones,Judith O'Dea
"Blue Angel, The (Blaue Engel, Der) ",1930,228,617,Josef von Sternberg,Emil Jannings,Marlene Dietrich
Picnic ,1955,39940,618,Joshua Logan,William Holden,Kim Novak
Extreme Measures ,1996,11306,619,Michael Apted,Hugh Grant,Gene Hackman
"Chamber, The ",1996,6346,620,James Foley,Chris O'Donnell,Gene Hackman
"Davy Crockett, King of the Wild Frontier ",1955,35115,621,Norman Foster,Fess Parker,Hans Conried
Swiss Family Robinson ,1960,18444,622,Ken Annakin,John Mills,Dorothy McGuire
Angels in the Outfield ,1994,24795,623,William Dear,Danny Glover,Brenda Fricker
"Three Caballeros, The ",1945,15947,624,Clyde Geronimi,Sterling Holloway,Clarence Nash
"Sword in the Stone, The ",1963,9078,625,Wolfgang Reitherman,Sebastian Cabot,Karl Swenson
So Dear to My Heart ,1949,29682,626,Harold D. Schuster,Bobby Driscoll,Luana Patten
Robin Hood: Prince of Thieves ,1991,8367,627,Kevin Reynolds,Kevin Costner,Morgan Freeman
Sleepers ,1996,819,628,Barry Levinson,Robert De Niro,Brad Pitt
Victor/Victoria ,1982,12614,629,Blake Edwards,Julie Andrews,James Garner
"Great Race, The ",1965,11575,630,Blake Edwards,Jack Lemmon,Tony Curtis
"Crying Game, The ",1992,11386,631,Neil Jordan,Stephen Rea,Jaye Davidson
Sophie's Choice ,1982,15764,632,Alan J. Pakula,Meryl Streep,Kevin Kline
"Christmas Carol, A ",1938,25842,633,Edwin L. Marin,Reginald Owen,Gene Lockhart
Microcosmos: Le peuple de l'herbe ,1996,9305,634,Claude Nuridsany,Jacques Perrin,Kristin Scott Thomas
"Fog, The ",1980,790,635,John Carpenter,Adrienne Barbeau,Jamie Lee Curtis
Escape from New York ,1981,1103,636,John Carpenter,Kurt Russell,Lee Van Cleef
"Howling, The ",1981,11298,637,Joe Dante,Dee Wallace,Patrick Macnee
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) ",1982,4483,638,Daniel Vigne,Gérard Depardieu,Maurice Barrier
"Tin Drum, The (Blechtrommel, Die) ",1979,659,639,Volker Schlöndorff,Mario Adorf,Angela Winkler
"Cook the Thief His Wife & Her Lover, The ",1989,7452,640,Peter Greenaway,Richard Bohringer,Michael Gambon
